requested_id,answered_model,faigate_model,provider,status
auto,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
auto,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
coding-auto,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
coding-fast,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
coding-premium,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
eco,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
free,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
premium,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
anthropic-haiku,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
anthropic-sonnet,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
anthropic-claude,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
blackbox-free,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,200
gemini-flash,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,200
gemini-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,gemini-2.5-flash-lite,200
gemini-pro,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
kilocode,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
kilo-sonnet,anthropic/claude-sonnet-4.6,anthropic/claude-sonnet-4.6,anthropic/claude-sonnet-4.6,200
kilo-opus,anthropic/claude-opus-4.6,anthropic/claude-opus-4.6,anthropic/claude-opus-4.6,200
openai-gpt4o,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-images,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openrouter-fallback,google/gemini-3-flash-preview,openrouter/auto,google/gemini-3-flash-preview,200
openai-codex,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-mini,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-spark,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-high,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-xhigh,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-low,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-5.4-xhigh,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-5.4-high,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-5.4-medium,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
openai-codex-5.4-low,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,200
